claim_id,policy_id,loss_date,report_date,settle_date,loss_type,claim_amount_thb,status,adjuster_name,fraud_flag
CL000063,P001623,2025-10-20,2025-10-31,2025-11-21,theft,120651,paid,Fern Chaisawat,false
CL000064,P007864,2024-11-07,2024-11-10,,water_damage,5173717,open,Anong Chaisawat,false
CL000065,P000767,2025-10-25,2025-11-05,,third_party_liability,778611,pending,Apinya Chaisawat,false
CL000066,P008936,2024-02-21,2024-02-27,,fire,164998,pending,Daeng Suwanphon,false
CL000067,P004143,2024-09-29,2024-10-12,,collision,29038,pending,View Saetang,false
CL000068,P009565,2026-04-13,2026-04-16,2026-06-24,fire,79911,paid,Beam Chaiyaporn,false
CL000069,P003832,2023-09-18,2023-09-23,2023-10-14,fire,1233301,paid,Beam Srisuk,false
CL000070,P001257,2026-03-26,2026-04-06,2026-06-20,flood,1705865,paid,Toon Phutthichai,false
CL000071,P003186,2024-02-14,2024-02-17,2024-04-17,fire,2722303,paid,Anong Srisuk,false
CL000072,P007533,2025-04-11,2025-04-21,2025-07-01,burglary,2791448,paid,Anong Phromsiri,false
CL000073,P000131,2025-08-02,2025-08-15,2025-10-31,third_party_liability,164913,denied,Eak Kittikun,false
CL000074,P001245,2023-07-10,2023-07-13,2023-08-18,flood,519510,paid,View Sangthong,false
CL000075,P001082,2026-04-19,2026-05-02,2026-05-21,fire,465779,paid,Niran Rattanapan,false
CL000076,P008553,2025-07-27,2025-07-31,2025-08-15,flood,262376,paid,Earth Watcharaphon,false
CL000077,P009458,2024-03-12,2024-03-13,,burglary,6103048,pending,Boss Chaiyaporn,false
CL000078,P001013,2026-04-29,2026-05-02,,collision,435360,pending,Nan Wongchai,false
CL000079,P004052,2026-02-24,2026-03-09,2026-06-07,flood,21380,denied,Earth Srisuk,false
CL000080,P001920,2024-02-24,2024-03-01,,third_party_liability,310223,open,Nok Chaisawat,false
CL000081,P004799,2025-08-12,2025-08-12,2025-08-28,third_party_liability,660389,paid,Earth Chaisawat,false
CL000082,P008412,2026-03-11,2026-03-18,2026-05-11,flood,2905176,paid,Bua Rattanapan,false
CL000083,P003011,2023-11-12,2023-11-16,,theft,321292,pending,Mint Kittikun,false
CL000084,P003999,2026-04-06,2026-04-06,2026-06-06,fire,571709,paid,Niran Saetang,false
CL000085,P005561,2024-07-03,2024-07-16,2024-07-24,flood,29180,paid,Boss Inthanon,false
CL000086,P002288,2024-03-24,2024-03-26,2024-05-17,flood,176065,paid,Pim Saetang,false
CL000087,P002001,2023-06-11,2023-06-19,2023-09-10,flood,63106,paid,Eak Kanchanaburi,false
CL000088,P002567,2023-08-27,2023-08-31,,flood,89572,open,Mild Saetang,false
CL000089,P008752,2024-04-15,2024-04-21,2024-06-27,flood,158197,paid,Boss Suwanphon,false
CL000090,P004924,2022-05-19,2022-05-20,2022-07-07,flood,270451,denied,Toon Rattanapan,false
CL000091,P000501,2025-02-15,2025-02-15,,burglary,1092890,pending,Tawan Rattanapan,false
CL000092,P008588,2024-05-04,2024-05-14,,third_party_liability,30067,pending,Eak Rattanapan,false
CL000093,P003537,2024-06-12,2024-06-24,,flood,117054,pending,Boss Inthanon,false
CL000094,P008038,2026-02-28,2026-03-04,2026-05-06,third_party_liability,438313,denied,Malee Srisuk,false
CL000095,P009965,2026-03-13,2026-03-20,2026-05-28,storm,544811,denied,Beam Thongdee,false
CL000096,P002823,2023-12-22,2023-12-29,,theft,214752,pending,Toon Limthongkul,false
CL000097,P002592,2024-03-20,2024-03-22,2024-04-29,flood,7930482,paid,Daeng Chaisawat,false
CL000098,P004906,2023-09-28,2023-10-10,2023-11-12,fire,195036,paid,Bua Sangthong,false
CL000099,P004675,2025-08-22,2025-09-04,,water_damage,4140560,pending,Boss Srisuk,false
CL000100,P005584,2025-08-19,2025-08-23,2025-09-08,collision,623525,denied,Beam Phongphan,false
CL000101,P003912,2024-02-09,2024-02-23,2024-04-19,third_party_liability,312939,paid,Ploy Srisuk,false
CL000102,P000353,2023-06-21,2023-06-25,2023-09-04,flood,4023888,paid,Tee Thongdee,false
CL000103,P007265,2023-11-13,2023-11-23,2023-12-25,third_party_liability,70898,paid,Daeng Limthongkul,false
CL000104,P006258,2025-05-30,2025-06-07,2025-07-15,burglary,2776179,paid,Anong Phromsiri,false
CL000105,P001326,2026-03-25,2026-03-29,2026-06-07,burglary,2130472,paid,Pat Kittikun,false
CL000106,P009860,2023-07-05,2023-07-09,,collision,266969,pending,Apinya Kittikun,false
CL000107,P001859,2026-01-08,2026-01-22,2026-02-25,collision,123079,paid,Somchai Sukhumvit,false
CL000108,P009799,2024-06-26,2024-06-30,,third_party_liability,431980,pending,Earth Phutthichai,false
CL000109,P006402,2022-09-14,2022-09-26,,water_damage,1315547,pending,Tawan Phongphan,false
CL000110,P006162,2024-06-30,2024-07-12,2024-09-23,flood,1615731,paid,Mild Boonmee,false
CL000111,P004421,2024-06-10,2024-06-18,2024-07-30,third_party_liability,163614,paid,Bua Limthongkul,false
CL000112,P008212,2026-02-19,2026-02-22,,third_party_liability,113084,open,Mint Chaisawat,false
CL000113,P002899,2024-11-16,2024-11-21,2025-01-13,flood,144933,paid,Ploy Phromsiri,false
CL000114,P002385,2026-02-18,2026-03-03,2026-03-12,fire,488510,paid,Praew Phutthichai,false
CL000115,P006984,2022-04-25,2022-05-06,2022-05-13,collision,52497,paid,Daeng Kanchanaburi,false
CL000116,P006984,2022-07-26,2022-08-02,,flood,61996,open,Fern Phromsiri,false
CL000117,P002806,2023-08-25,2023-08-27,2023-11-16,theft,67551,paid,Chai Watcharaphon,false
CL000118,P007829,2026-05-05,2026-05-14,2026-07-21,water_damage,305213,paid,Nok Watcharaphon,false
CL000119,P000753,2024-05-17,2024-05-21,,collision,573779,pending,Malee Boonmee,false
CL000120,P006293,2026-04-11,2026-04-19,2026-06-08,third_party_liability,651887,paid,Apinya Charoensuk,false
CL000121,P002819,2022-09-15,2022-09-16,,third_party_liability,60506,pending,Nok Kanchanaburi,false
CL000122,P000609,2023-06-26,2023-07-05,2023-09-03,fire,1520198,denied,Praew Charoensuk,false
CL000123,P006274,2024-01-10,2024-01-12,2024-01-31,fire,312163,paid,Chai Phongphan,false
CL000124,P006319,2023-11-01,2023-11-03,2024-01-28,fire,667075,paid,Fern Sukhumvit,false
CL000125,P005140,2023-08-30,2023-09-01,,theft,115698,open,Tawan Sangthong,false
CL000126,P004876,2024-11-16,2024-11-16,2025-02-06,collision,175584,paid,Bua Thongdee,false
CL000127,P004139,2023-10-06,2023-10-14,,third_party_liability,74616,open,Nok Chaisawat,false
CL000128,P004570,2024-09-07,2024-09-18,2024-10-11,fire,4788294,paid,Wichai Suwanphon,false
CL000129,P009090,2025-01-09,2025-01-10,,collision,445018,pending,Mai Wongchai,false
CL000130,P008798,2026-04-01,2026-04-09,,flood,889698,open,View Sangthong,false
CL000131,P006865,2025-10-30,2025-11-11,,burglary,1928975,pending,Pim Sangthong,false
CL000132,P008116,2025-01-30,2025-02-10,2025-04-06,theft,632709,paid,Mint Limthongkul,false
CL000133,P002530,2023-05-15,2023-05-19,,storm,1349123,pending,Beam Chaiyaporn,false
CL000134,P001632,2024-06-21,2024-07-01,2024-08-06,theft,606141,paid,Mild Chaiyaporn,false
CL000135,P008136,2022-11-21,2022-12-05,2022-12-12,theft,196995,paid,Boss Rattanapan,false
CL000136,P004983,2025-10-04,2025-10-05,2025-12-25,theft,84596,paid,Earth Chaiyaporn,false
CL000137,P007071,2026-05-11,2026-05-18,2026-07-17,flood,77721,denied,Malee Charoensuk,false
CL000138,P010000,2026-01-19,2026-01-20,2026-04-05,collision,54677,paid,Bua Phromsiri,false
CL000139,P006645,2024-06-18,2024-06-24,,third_party_liability,149317,pending,Wichai Rattanapan,false
CL000140,P008449,2023-08-02,2023-08-15,2023-09-07,flood,5044471,paid,Malee Thongdee,false
CL000141,P002943,2023-06-09,2023-06-19,2023-08-13,flood,53718,paid,Boss Phutthichai,false
CL000142,P004055,2025-03-27,2025-04-06,2025-06-04,burglary,515417,denied,Kanya Phongphan,false
CL000143,P003985,2024-02-29,2024-03-02,,collision,60241,pending,Mild Phutthichai,false
CL000144,P004837,2025-02-12,2025-02-15,2025-03-13,burglary,366285,paid,Mint Kanchanaburi,false
CL000145,P009329,2026-04-26,2026-05-06,,theft,775024,open,Boss Inthanon,false
CL000146,P003215,2023-03-24,2023-04-06,2023-05-11,storm,2092153,denied,Beam Phongphan,false
CL000147,P003574,2025-07-18,2025-07-24,2025-08-16,flood,541715,paid,Boss Kittikun,false
CL000148,P005842,2023-06-05,2023-06-09,2023-07-23,flood,1900531,denied,Mai Boonmee,false
CL000149,P001269,2023-03-27,2023-03-30,2023-04-08,flood,1877587,paid,Anong Sukhumvit,false
CL000150,P005693,2024-05-08,2024-05-10,,third_party_liability,56302,pending,Boss Chaisawat,false
CL000151,P009950,2023-09-18,2023-09-20,2023-11-18,storm,2870030,paid,Ploy Boonmee,false
CL000152,P008782,2025-10-15,2025-10-21,2025-11-01,flood,145546,paid,Beam Srisuk,false
CL000153,P002272,2026-05-04,2026-05-12,,flood,646263,open,Somchai Sukhumvit,false
CL000154,P001502,2023-09-14,2023-09-19,2023-10-06,theft,239358,paid,Mai Kittikun,false
CL000155,P001411,2025-07-11,2025-07-21,2025-10-03,flood,99647,paid,Daeng Sukhumvit,false
CL000156,P003062,2026-05-02,2026-05-02,2026-06-24,flood,222419,paid,Boss Thongdee,false
CL000157,P008088,2024-11-05,2024-11-11,2024-11-19,fire,41531,paid,Earth Inthanon,false
CL000158,P002864,2025-02-22,2025-02-25,2025-03-04,storm,259829,paid,View Phromsiri,false
CL000159,P000828,2026-04-21,2026-05-03,2026-06-27,burglary,478669,paid,Mint Phromsiri,false
CL000160,P007859,2026-02-20,2026-03-04,2026-03-21,third_party_liability,41270,paid,Niran Chaisawat,false
CL000161,P006235,2025-05-09,2025-05-18,2025-07-10,third_party_liability,227529,paid,Mild Rattanapan,false
CL000162,P006600,2024-09-18,2024-09-29,2024-11-05,theft,155801,paid,Tawan Phongphan,false
CL000163,P008700,2025-06-10,2025-06-12,2025-07-13,collision,250144,denied,Bua Phromsiri,true
CL000164,P002417,2023-09-18,2023-09-24,,storm,2337871,pending,Wichai Phongphan,false
CL000165,P008184,2025-11-15,2025-11-19,,theft,111259,pending,Boss Sukhumvit,false
CL000166,P000685,2023-11-14,2023-11-15,2024-01-07,fire,240845,paid,Suda Saetang,false
CL000167,P009275,2025-12-24,2025-12-25,2026-01-22,flood,144684,paid,Tawan Srisuk,false
CL000168,P008058,2025-11-26,2025-11-26,2025-12-27,collision,460382,paid,Eak Watcharaphon,false
CL000169,P002399,2023-06-03,2023-06-07,,theft,540620,pending,Praew Phromsiri,false
CL000170,P002728,2025-11-12,2025-11-12,,flood,109478,open,Somchai Chaisawat,false
CL000171,P001786,2024-10-24,2024-10-29,2024-12-26,theft,13595,paid,Tawan Phongphan,false
CL000172,P007419,2026-01-29,2026-02-01,2026-03-28,fire,879653,paid,Daeng Srisuk,false
CL000173,P000794,2024-08-14,2024-08-14,2024-11-08,fire,215995,paid,Ploy Thongdee,true
CL000174,P000867,2026-01-21,2026-01-31,2026-03-27,theft,90681,paid,Apinya Phromsiri,false
CL000175,P002529,2026-01-13,2026-01-18,,water_damage,1382514,pending,Wichai Inthanon,false
CL000176,P006850,2025-11-29,2025-12-06,,fire,2621019,pending,Eak Sangthong,false
CL000177,P002816,2025-02-16,2025-03-02,,flood,18272,pending,Fern Kanchanaburi,false
CL000178,P009109,2024-03-07,2024-03-07,2024-05-04,fire,104452,denied,Pat Kanchanaburi,false
CL000179,P008581,2024-08-22,2024-09-04,,theft,167766,pending,Apinya Phongphan,false
CL000180,P003105,2026-05-04,2026-05-17,2026-07-06,theft,83266,paid,Ploy Phutthichai,false
CL000181,P000910,2026-04-16,2026-04-23,2026-05-19,third_party_liability,182193,paid,Toon Kittikun,false
CL000182,P003424,2022-10-24,2022-10-29,,theft,715209,pending,Mai Charoensuk,false
CL000183,P008606,2022-10-16,2022-10-23,2023-01-15,collision,415315,denied,Nan Rattanapan,false
CL000184,P002700,2024-03-31,2024-04-12,2024-05-30,flood,2996684,paid,Boss Saetang,false
CL000185,P007339,2026-05-05,2026-05-17,,fire,378165,open,Kanya Wongchai,false
CL000186,P008910,2024-10-09,2024-10-10,,water_damage,1633481,pending,Pim Wongchai,false
CL000187,P007106,2025-10-06,2025-10-20,2026-01-01,fire,800784,paid,Pat Limthongkul,false
CL000188,P003442,2024-05-15,2024-05-25,2024-07-21,theft,310447,paid,Suda Saetang,false
CL000189,P002820,2023-11-22,2023-11-23,2024-02-01,collision,105569,paid,Anong Charoensuk,false
CL000190,P003638,2026-05-14,2026-05-25,,theft,368445,pending,Malee Phutthichai,false
CL000191,P001323,2025-08-17,2025-08-23,,flood,155206,open,Earth Boonmee,false
CL000192,P002871,2023-03-11,2023-03-13,2023-06-02,fire,4460230,paid,Bua Thongdee,false
CL000193,P008279,2023-04-11,2023-04-25,2023-06-27,fire,473635,paid,Tee Inthanon,false
CL000194,P008137,2023-12-25,2024-01-01,2024-03-28,water_damage,7050026,paid,Malee Chaisawat,false
CL000195,P003410,2023-12-06,2023-12-18,2024-02-21,burglary,2395387,denied,Malee Rattanapan,false
CL000196,P003336,2024-01-29,2024-02-02,2024-03-14,third_party_liability,494123,paid,Wichai Phromsiri,false
CL000197,P000413,2024-01-17,2024-01-19,2024-02-14,water_damage,2262330,paid,Ploy Rattanapan,false
CL000198,P007096,2026-04-20,2026-04-28,,theft,267215,open,Earth Watcharaphon,false
CL000199,P001212,2025-07-05,2025-07-09,,fire,573611,pending,Daeng Chaisawat,false
CL000200,P008172,2026-02-22,2026-03-04,2026-05-15,water_damage,1475783,paid,Ploy Sangthong,false
CL000201,P006077,2026-03-14,2026-03-15,2026-04-10,water_damage,1925589,paid,Kanya Chaisawat,false
CL000202,P009922,2026-03-04,2026-03-09,2026-05-29,flood,383831,paid,Apinya Limthongkul,false
CL000203,P008875,2025-05-06,2025-05-07,,theft,478266,open,Mild Kittikun,false
CL000204,P007547,2025-03-17,2025-03-25,2025-06-03,storm,339545,paid,Chai Thongdee,false
CL000205,P007015,2023-02-20,2023-02-23,2023-03-17,water_damage,1584653,paid,Tee Srisuk,false
CL000206,P005837,2025-10-04,2025-10-05,2025-12-25,collision,161861,paid,Malee Rattanapan,false
CL000207,P000371,2026-03-02,2026-03-02,2026-05-25,burglary,1845300,paid,Pim Srisuk,false
CL000208,P000132,2023-11-14,2023-11-14,2024-01-04,flood,468896,paid,Tee Kanchanaburi,false
CL000209,P000475,2026-04-10,2026-04-21,2026-06-28,fire,76455,paid,Nok Kanchanaburi,false
CL000210,P005134,2023-03-20,2023-03-21,2023-05-30,theft,897071,paid,Ploy Chaiyaporn,false
CL000211,P004365,2025-03-26,2025-04-07,2025-05-12,fire,124249,paid,Fern Phongphan,false
CL000212,P004189,2022-09-29,2022-10-06,,flood,2003862,pending,Malee Boonmee,false
CL000213,P008707,2024-08-28,2024-09-11,2024-10-29,third_party_liability,40057,paid,Chai Rattanapan,false
CL000214,P005655,2023-09-04,2023-09-07,,flood,67554,pending,View Phongphan,false
CL000215,P004011,2026-05-05,2026-05-15,2026-07-22,third_party_liability,34957,paid,Anong Limthongkul,false
CL000216,P004518,2025-03-07,2025-03-17,2025-05-23,flood,469490,denied,Praew Kittikun,false
CL000217,P004643,2026-04-27,2026-05-04,2026-05-31,storm,420073,paid,Earth Srisuk,true
CL000218,P000175,2023-11-15,2023-11-16,,flood,205028,open,Ploy Phongphan,false
CL000219,P008781,2024-12-15,2024-12-27,2025-01-27,burglary,2113984,paid,Niran Chaiyaporn,false
CL000220,P005245,2023-09-14,2023-09-27,2023-10-29,fire,100062,paid,Eak Saetang,false
CL000221,P005945,2023-06-09,2023-06-09,2023-07-25,third_party_liability,678788,paid,Daeng Sangthong,false
CL000222,P003352,2023-12-31,2024-01-03,2024-01-27,fire,290784,paid,Bank Saetang,false
CL000223,P009990,2023-07-28,2023-07-29,2023-10-06,theft,608363,paid,Boss Sangthong,false
CL000224,P003995,2024-09-23,2024-09-27,2024-12-01,fire,309709,paid,Mai Limthongkul,false
CL000225,P002249,2024-12-07,2024-12-17,,fire,51431,open,Bua Watcharaphon,false
CL000226,P001445,2023-04-30,2023-05-08,2023-06-07,collision,299666,paid,Ploy Wongchai,false
CL000227,P000393,2026-04-29,2026-04-29,2026-05-19,flood,793842,paid,Boss Kittikun,false
CL000228,P008271,2022-12-29,2023-01-08,2023-03-26,collision,409866,denied,Bua Phromsiri,false
CL000229,P006500,2023-12-26,2024-01-04,,theft,34447,pending,Anong Srisuk,false
CL000230,P002712,2024-03-17,2024-03-28,2024-06-20,fire,195393,denied,Fern Sangthong,false
CL000231,P000814,2023-11-20,2023-11-27,2024-02-05,collision,347333,paid,Pat Charoensuk,false
CL000232,P004865,2026-01-20,2026-02-02,,collision,301713,pending,Mai Kanchanaburi,false
CL000233,P005380,2023-12-09,2023-12-12,2024-03-11,third_party_liability,580254,paid,Pat Chaiyaporn,false
CL000234,P007312,2024-05-03,2024-05-17,2024-06-05,fire,87348,paid,Wichai Srisuk,false
CL000235,P007473,2024-08-31,2024-09-03,,storm,1502388,pending,Ploy Phromsiri,false
CL000236,P009892,2023-11-05,2023-11-13,2023-12-08,burglary,429216,paid,Daeng Sangthong,false
CL000237,P007051,2026-04-22,2026-04-25,2026-05-21,third_party_liability,349293,paid,Somchai Sangthong,false
CL000238,P002860,2024-07-02,2024-07-16,2024-08-23,flood,510416,paid,Bank Kanchanaburi,false
CL000239,P003695,2023-03-02,2023-03-10,,flood,304851,open,Chai Sangthong,false
CL000240,P006787,2026-03-27,2026-03-28,2026-05-09,third_party_liability,212303,paid,Nan Rattanapan,false
CL000241,P003265,2024-03-25,2024-04-01,,theft,8592,open,Pim Rattanapan,false
CL000242,P004962,2026-04-22,2026-04-23,2026-06-09,flood,2366478,paid,Beam Limthongkul,false
CL000243,P002948,2024-02-24,2024-03-05,,flood,2709778,open,Mai Srisuk,false
CL000244,P007523,2024-03-31,2024-04-06,,fire,916119,open,Nok Limthongkul,false
CL000245,P001640,2026-01-18,2026-01-30,2026-02-09,collision,81027,denied,Mint Thongdee,false
CL000246,P009093,2022-05-22,2022-05-29,,collision,84714,pending,Chai Kittikun,false
CL000247,P001855,2023-05-07,2023-05-09,2023-05-26,fire,5716912,paid,Chai Sangthong,false
CL000248,P008676,2024-08-17,2024-08-23,2024-10-26,storm,633600,paid,Anong Rattanapan,true
CL000249,P002403,2025-07-11,2025-07-25,,theft,147073,pending,Malee Boonmee,false
CL000250,P009618,2022-12-30,2023-01-04,2023-01-22,collision,837117,paid,Malee Phromsiri,false
CL000251,P001116,2026-05-04,2026-05-16,2026-07-10,burglary,2026510,paid,Suda Saetang,false
CL000252,P006594,2025-03-15,2025-03-26,2025-05-27,flood,319519,paid,Malee Sangthong,false
CL000253,P002906,2024-01-30,2024-01-30,2024-03-10,water_damage,2729103,paid,Beam Kittikun,false
CL000254,P005115,2024-10-10,2024-10-16,2024-11-18,water_damage,1661764,paid,Beam Phongphan,false
CL000255,P006063,2023-05-07,2023-05-07,2023-08-01,storm,2906570,paid,Eak Rattanapan,false
CL000256,P007102,2023-01-29,2023-02-05,2023-04-29,theft,245435,paid,Bua Suwanphon,false
CL000257,P008556,2026-05-06,2026-05-12,,flood,201291,pending,Beam Saetang,false
CL000258,P005647,2022-03-16,2022-03-22,,fire,58741,open,Anong Chaisawat,false
CL000259,P001801,2024-09-07,2024-09-18,2024-12-08,theft,206213,paid,Beam Suwanphon,false
CL000260,P008394,2023-02-23,2023-03-09,2023-03-16,collision,129836,paid,Pat Kanchanaburi,false
CL000261,P000032,2023-11-30,2023-12-04,,flood,271530,pending,Fern Inthanon,false
CL000262,P003132,2024-03-15,2024-03-26,2024-06-18,theft,509857,paid,Suda Phromsiri,false
CL000263,P003188,2025-01-31,2025-02-12,2025-03-07,flood,718024,paid,Anong Suwanphon,false
CL000264,P002434,2024-01-30,2024-02-02,,water_damage,1821616,pending,Toon Kittikun,false
CL000265,P004564,2024-01-24,2024-01-24,2024-04-23,fire,1491762,paid,Kanya Saetang,false
CL000266,P005571,2024-08-11,2024-08-21,2024-11-02,third_party_liability,78490,paid,Apinya Wongchai,false
CL000267,P000407,2023-12-09,2023-12-16,,fire,844428,pending,Anong Rattanapan,false
CL000268,P000183,2026-04-05,2026-04-16,2026-06-21,fire,487639,paid,Mai Limthongkul,false
CL000269,P001948,2023-11-10,2023-11-24,,storm,3296226,pending,Praew Chaiyaporn,false
CL000270,P002575,2024-04-27,2024-05-04,,fire,7783285,pending,Pat Kanchanaburi,false
CL000271,P007376,2025-04-11,2025-04-19,2025-06-04,storm,4238972,paid,Fern Chaiyaporn,false
CL000272,P009983,2026-04-27,2026-05-05,2026-07-21,collision,262676,paid,Boss Kittikun,false
CL000273,P006272,2025-04-17,2025-04-19,,third_party_liability,107403,pending,Tee Thongdee,false
CL000274,P001401,2023-01-26,2023-02-04,2023-04-12,collision,351285,paid,Chai Charoensuk,false
CL000275,P007267,2024-06-02,2024-06-11,2024-08-06,flood,766093,denied,Pat Rattanapan,false
CL000276,P003871,2022-02-20,2022-03-06,2022-04-04,water_damage,561239,paid,Eak Phongphan,false
CL000277,P001003,2024-03-23,2024-03-24,2024-04-27,fire,607658,paid,Ploy Sukhumvit,false
CL000278,P008272,2026-02-22,2026-03-04,,flood,476298,open,Ploy Phutthichai,false
