policy_id,customer_id,agent_id,product_line,product_subtype,effective_date,expiry_date,sum_insured_thb,annual_premium_thb,payment_frequency,status
P000084,C02498,A0032,motor,motor_compulsory,2023-08-22,2024-08-21,2022078,91939,annual,active
P000085,C02950,A0037,motor,motor_compulsory,2023-02-16,2024-02-16,247632,11545,annual,active
P000086,C01742,A0028,property,property_fire,2023-04-07,2024-04-06,15941617,114972,annual,active
P000087,C00085,A0049,motor,motor_compulsory,2024-10-03,2025-10-03,575097,22336,annual,active
P000088,C02358,A0016,motor,motor_voluntary,2024-02-02,2025-02-01,1535537,39700,annual,active
P000089,C02648,A0021,motor,motor_voluntary,2026-03-20,2027-03-20,2434046,57856,quarterly,active
P000090,C00414,A0033,motor,motor_compulsory,2025-12-23,2026-12-23,377261,14041,annual,active
P000091,C01641,A0005,motor,motor_compulsory,2024-01-02,2025-01-01,1574642,34374,quarterly,active
P000092,C02828,A0023,property,property_flood,2023-03-27,2024-03-26,17649351,85613,annual,active
P000093,C00030,A0041,property,property_allrisk,2024-05-10,2025-05-10,9232446,45062,quarterly,active
P000094,C02666,A0022,motor,motor_compulsory,2024-08-20,2025-08-20,578945,17948,quarterly,active
P000095,C00415,A0025,property,property_fire,2025-01-01,2026-01-01,17352531,140779,quarterly,lapsed
P000096,C00116,A0011,motor,motor_voluntary,2024-05-06,2025-05-06,762137,34410,annual,active
P000097,C01045,A0017,motor,motor_compulsory,2023-06-18,2024-06-17,1919074,38651,monthly,active
P000098,C01325,A0041,property,property_flood,2023-08-03,2024-08-02,14831427,54711,monthly,active
P000099,C00154,A0013,motor,motor_compulsory,2023-03-29,2024-03-28,1917964,86015,annual,cancelled
P000100,C00855,A0028,motor,motor_voluntary,2022-05-27,2023-05-27,767778,26651,monthly,active
P000101,C02167,A0049,property,property_flood,2024-06-14,2025-06-14,4437604,23828,annual,active
P000102,C01714,A0032,motor,motor_compulsory,2026-03-24,2027-03-24,1086737,51942,quarterly,active
P000103,C02514,A0033,motor,motor_voluntary,2026-01-03,2027-01-03,928552,23393,quarterly,active
P000104,C02203,A0048,property,property_allrisk,2024-04-30,2025-04-30,12764351,51146,quarterly,active
P000105,C02294,A0008,motor,motor_compulsory,2023-03-12,2024-03-11,717098,24098,monthly,active
P000106,C00267,A0033,property,property_allrisk,2024-03-02,2025-03-02,2178256,10516,quarterly,active
P000107,C00959,A0014,motor,motor_compulsory,2025-01-05,2026-01-05,2058862,81442,quarterly,active
P000108,C00052,A0040,motor,motor_compulsory,2024-01-05,2025-01-04,2085369,42578,monthly,active
P000109,C00524,A0026,property,property_allrisk,2025-05-08,2026-05-08,7476051,56921,monthly,active
P000110,C00953,A0006,motor,motor_voluntary,2023-05-19,2024-05-18,365755,17451,annual,active
P000111,C00232,A0046,motor,motor_compulsory,2022-10-14,2023-10-14,2088318,70699,annual,active
P000112,C02257,A0042,motor,motor_compulsory,2024-03-10,2025-03-10,618192,22842,monthly,active
P000113,C01908,A0002,motor,motor_compulsory,2022-10-11,2023-10-11,1498415,34409,annual,active
P000114,C02353,A0027,property,property_flood,2025-03-09,2026-03-09,16927263,73789,monthly,lapsed
P000115,C00058,A0017,motor,motor_compulsory,2024-09-03,2025-09-03,527695,26255,annual,active
P000116,C00146,A0013,motor,motor_voluntary,2023-08-09,2024-08-08,923061,30070,quarterly,active
P000117,C01636,A0029,motor,motor_compulsory,2022-01-13,2023-01-13,616145,25031,annual,active
P000118,C00969,A0026,motor,motor_voluntary,2023-03-07,2024-03-06,835212,36224,quarterly,active
P000119,C01905,A0031,property,property_fire,2026-01-18,2027-01-18,13092714,62443,annual,active
P000120,C00051,A0002,motor,motor_voluntary,2023-10-07,2024-10-06,601729,20969,quarterly,active
P000121,C00384,A0007,motor,motor_compulsory,2023-03-12,2024-03-11,575286,14776,monthly,active
P000122,C02031,A0010,motor,motor_compulsory,2025-08-25,2026-08-25,373042,15778,monthly,active
P000123,C02032,A0008,motor,motor_compulsory,2024-07-26,2025-07-26,1526294,70368,annual,active
P000124,C00593,A0015,motor,motor_voluntary,2022-09-08,2023-09-08,2187936,98516,quarterly,active
P000125,C01403,A0012,motor,motor_voluntary,2023-07-10,2024-07-09,970355,29902,monthly,active
P000126,C01828,A0031,property,property_allrisk,2023-02-04,2024-02-04,3760931,16086,monthly,active
P000127,C00387,A0015,motor,motor_voluntary,2025-05-11,2026-05-11,1073439,43186,monthly,active
P000128,C02774,A0009,motor,motor_voluntary,2024-09-06,2025-09-06,2152946,81984,quarterly,active
P000129,C00436,A0037,property,property_flood,2022-02-07,2023-02-07,13049070,107773,annual,active
P000130,C02880,A0019,motor,motor_voluntary,2026-01-11,2027-01-11,916091,40457,annual,cancelled
P000131,C02105,A0044,motor,motor_compulsory,2025-05-26,2026-05-26,1270802,43676,quarterly,lapsed
P000132,C01869,A0017,motor,motor_compulsory,2023-01-20,2024-01-20,1791189,89512,monthly,active
P000133,C00449,A0037,motor,motor_voluntary,2026-02-15,2027-02-15,2038455,90967,monthly,cancelled
P000134,C02168,A0050,motor,motor_voluntary,2023-08-08,2024-08-07,559678,18534,monthly,active
P000135,C01108,A0029,motor,motor_voluntary,2022-10-03,2023-10-03,1027873,44776,monthly,active
P000136,C00768,A0010,motor,motor_voluntary,2025-12-16,2026-12-16,1139530,42416,annual,active
P000137,C00608,A0001,property,property_fire,2024-02-13,2025-02-12,3211843,38480,quarterly,active
P000138,C01544,A0016,property,property_fire,2022-01-19,2023-01-19,7983929,78659,quarterly,active
P000139,C02135,A0037,property,property_allrisk,2023-08-16,2024-08-15,16214822,83562,annual,active
P000140,C01575,A0037,property,property_fire,2024-05-26,2025-05-26,9459829,38520,annual,lapsed
P000141,C02384,A0044,motor,motor_voluntary,2024-02-17,2025-02-16,782436,31739,annual,active
P000142,C01380,A0020,property,property_flood,2023-04-02,2024-04-01,16429372,158709,annual,active
P000143,C00095,A0039,property,property_fire,2024-06-12,2025-06-12,19374848,132278,annual,active
P000144,C01826,A0006,motor,motor_voluntary,2023-07-18,2024-07-17,1244554,41116,monthly,active
P000145,C01351,A0033,motor,motor_voluntary,2026-02-11,2027-02-11,1535217,34963,monthly,active
P000146,C02723,A0001,property,property_allrisk,2024-01-23,2025-01-22,6035890,70951,monthly,active
P000147,C02355,A0039,motor,motor_compulsory,2022-11-26,2023-11-26,1203166,34088,annual,active
P000148,C02255,A0009,motor,motor_compulsory,2023-10-31,2024-10-30,1896268,62497,quarterly,active
P000149,C00624,A0009,property,property_flood,2026-01-09,2027-01-09,1537943,15827,annual,active
P000150,C00138,A0034,motor,motor_compulsory,2023-11-02,2024-11-01,1412094,69255,quarterly,active
P000151,C01469,A0041,motor,motor_voluntary,2024-10-27,2025-10-27,2284068,63639,monthly,active
P000152,C02539,A0007,motor,motor_voluntary,2022-10-29,2023-10-29,1132264,34345,annual,active
P000153,C02574,A0012,property,property_flood,2023-08-26,2024-08-25,12140593,48133,annual,lapsed
P000154,C02465,A0012,property,property_allrisk,2022-02-02,2023-02-02,19940162,63032,monthly,active
P000155,C01878,A0006,motor,motor_compulsory,2022-09-06,2023-09-06,1912947,39609,monthly,active
P000156,C02569,A0028,motor,motor_voluntary,2023-09-18,2024-09-17,1040974,51536,monthly,cancelled
P000157,C00048,A0032,motor,motor_voluntary,2024-06-25,2025-06-25,323166,12812,annual,active
P000158,C01252,A0042,motor,motor_compulsory,2024-06-13,2025-06-13,1141152,55541,monthly,active
P000159,C00439,A0040,property,property_allrisk,2024-09-06,2025-09-06,15058029,179012,monthly,cancelled
P000160,C00610,A0017,motor,motor_voluntary,2024-02-24,2025-02-23,1734909,60681,monthly,active
P000161,C01302,A0049,motor,motor_compulsory,2025-04-19,2026-04-19,548438,19050,monthly,active
P000162,C02087,A0026,property,property_fire,2024-01-11,2025-01-10,16396360,147790,quarterly,cancelled
P000163,C01131,A0005,property,property_allrisk,2025-03-30,2026-03-30,12780370,145529,annual,lapsed
P000164,C01914,A0006,property,property_allrisk,2024-07-06,2025-07-06,19313257,134767,annual,active
P000165,C02091,A0020,motor,motor_voluntary,2023-03-16,2024-03-15,1071129,33042,annual,lapsed
P000166,C01260,A0004,motor,motor_compulsory,2024-10-03,2025-10-03,810583,19264,quarterly,active
P000167,C01773,A0017,property,property_flood,2022-12-11,2023-12-11,13697121,108606,annual,active
P000168,C01638,A0043,property,property_allrisk,2026-03-23,2027-03-23,6490409,40320,annual,active
P000169,C00802,A0035,motor,motor_compulsory,2023-07-27,2024-07-26,568853,24456,annual,active
P000170,C02404,A0019,motor,motor_voluntary,2022-08-19,2023-08-19,2144476,58913,annual,active
P000171,C01720,A0035,property,property_flood,2025-12-17,2026-12-17,6998529,66598,monthly,active
P000172,C00413,A0003,property,property_allrisk,2023-02-07,2024-02-07,9713091,104858,monthly,active
P000173,C00121,A0008,motor,motor_compulsory,2024-01-14,2025-01-13,1504437,38938,annual,active
P000174,C02991,A0042,motor,motor_compulsory,2024-05-05,2025-05-05,2414141,78982,annual,active
P000175,C02426,A0040,motor,motor_voluntary,2023-04-03,2024-04-02,1049915,26137,annual,active
P000176,C01945,A0008,property,property_fire,2022-01-14,2023-01-14,3690458,14042,monthly,active
P000177,C00187,A0050,motor,motor_compulsory,2025-08-13,2026-08-13,614822,23173,annual,active
P000178,C00209,A0047,motor,motor_compulsory,2024-12-27,2025-12-27,852583,36504,annual,active
P000179,C02576,A0008,motor,motor_compulsory,2024-11-04,2025-11-04,2157311,96311,monthly,lapsed
P000180,C00682,A0036,motor,motor_compulsory,2022-05-03,2023-05-03,1629108,43503,annual,active
P000181,C00231,A0046,motor,motor_compulsory,2023-04-25,2024-04-24,2391885,101273,monthly,active
P000182,C02522,A0031,motor,motor_compulsory,2026-02-05,2027-02-05,643688,21114,monthly,active
P000183,C01988,A0022,motor,motor_voluntary,2025-10-01,2026-10-01,1811440,49886,monthly,active
P000184,C02760,A0047,motor,motor_compulsory,2022-10-21,2023-10-21,644773,30297,annual,active
P000185,C02741,A0019,motor,motor_compulsory,2022-06-23,2023-06-23,2152541,99046,monthly,active
P000186,C02397,A0003,property,property_fire,2024-04-24,2025-04-24,8156733,88802,quarterly,active
P000187,C01594,A0029,motor,motor_compulsory,2024-06-15,2025-06-15,1678121,76199,annual,active
P000188,C01494,A0045,motor,motor_voluntary,2024-05-20,2025-05-20,2032620,78443,annual,cancelled
P000189,C00595,A0025,property,property_fire,2023-08-25,2024-08-24,4001198,23593,monthly,lapsed
P000190,C02658,A0034,motor,motor_voluntary,2023-04-06,2024-04-05,1112620,28848,quarterly,cancelled
P000191,C02368,A0009,property,property_fire,2023-08-19,2024-08-18,10464675,111310,quarterly,lapsed
P000192,C02461,A0005,motor,motor_compulsory,2022-04-20,2023-04-20,2311367,50800,monthly,active
P000193,C02948,A0024,motor,motor_voluntary,2025-01-24,2026-01-24,396506,9682,annual,active
P000194,C00954,A0020,motor,motor_compulsory,2023-09-22,2024-09-21,1419710,45613,annual,lapsed
P000195,C02043,A0027,motor,motor_voluntary,2023-08-31,2024-08-30,1566720,32136,quarterly,active
P000196,C00501,A0021,property,property_fire,2026-04-13,2027-04-13,17461266,131833,quarterly,lapsed
P000197,C01840,A0032,motor,motor_compulsory,2024-02-28,2025-02-27,1546168,65455,quarterly,active
P000198,C01484,A0017,property,property_fire,2026-02-26,2027-02-26,8858790,73797,monthly,active
P000199,C01783,A0049,motor,motor_voluntary,2022-10-30,2023-10-30,2137180,53051,annual,active
P000200,C00265,A0029,property,property_allrisk,2025-08-05,2026-08-05,10401401,70788,monthly,active
P000201,C02672,A0031,motor,motor_voluntary,2023-01-29,2024-01-29,456465,20452,annual,active
P000202,C00935,A0034,property,property_fire,2023-05-14,2024-05-13,17144863,153981,monthly,active
P000203,C01881,A0043,property,property_allrisk,2024-09-09,2025-09-09,10949118,113783,monthly,active
P000204,C00605,A0029,motor,motor_voluntary,2025-03-18,2026-03-18,924600,27710,monthly,active
P000205,C01546,A0044,motor,motor_compulsory,2022-01-11,2023-01-11,391651,13104,monthly,active
P000206,C01643,A0031,motor,motor_voluntary,2024-03-02,2025-03-02,1066237,51491,quarterly,cancelled
P000207,C01947,A0039,motor,motor_compulsory,2025-12-19,2026-12-19,725883,19262,monthly,active
P000208,C00958,A0012,motor,motor_voluntary,2025-12-07,2026-12-07,1304134,46310,monthly,active
P000209,C02474,A0050,motor,motor_compulsory,2024-12-11,2025-12-11,1186991,32987,monthly,active
P000210,C01055,A0050,motor,motor_compulsory,2024-11-01,2025-11-01,551516,26864,monthly,active
P000211,C02048,A0046,motor,motor_compulsory,2025-08-28,2026-08-28,1925930,64532,quarterly,lapsed
P000212,C02159,A0017,motor,motor_voluntary,2026-04-16,2027-04-16,2030118,92403,monthly,active
P000213,C00245,A0046,property,property_allrisk,2023-09-24,2024-09-23,8048373,86462,monthly,active
P000214,C02668,A0032,motor,motor_voluntary,2023-06-03,2024-06-02,2222264,51331,quarterly,lapsed
P000215,C02225,A0024,motor,motor_compulsory,2023-04-28,2024-04-27,647146,21153,monthly,active
P000216,C02370,A0001,motor,motor_compulsory,2023-12-26,2024-12-25,1175968,24661,monthly,lapsed
P000217,C02330,A0036,motor,motor_voluntary,2024-01-05,2025-01-04,985091,20576,monthly,cancelled
P000218,C01730,A0035,motor,motor_compulsory,2024-07-04,2025-07-04,973365,39283,monthly,active
P000219,C00330,A0026,property,property_allrisk,2023-02-09,2024-02-09,16587815,181667,monthly,active
P000220,C01693,A0030,motor,motor_voluntary,2022-07-23,2023-07-23,1636269,66363,monthly,active
P000221,C02307,A0018,motor,motor_compulsory,2023-08-20,2024-08-19,1780141,66447,quarterly,active
P000222,C01332,A0017,motor,motor_voluntary,2023-02-12,2024-02-12,222353,8048,monthly,active
P000223,C01893,A0045,motor,motor_compulsory,2024-03-24,2025-03-24,1563358,36366,monthly,active
P000224,C01588,A0015,property,property_allrisk,2023-08-10,2024-08-09,7045916,55439,quarterly,active
P000225,C02646,A0022,motor,motor_compulsory,2025-05-31,2026-05-31,2000354,43577,monthly,active
P000226,C02567,A0038,motor,motor_voluntary,2024-02-25,2025-02-24,1473904,45214,quarterly,active
P000227,C02029,A0024,motor,motor_voluntary,2025-06-09,2026-06-09,2320914,106239,quarterly,active
P000228,C02315,A0011,property,property_fire,2023-01-21,2024-01-21,6692380,22763,annual,lapsed
P000229,C00134,A0018,motor,motor_voluntary,2024-09-04,2025-09-04,526125,24792,quarterly,active
P000230,C00845,A0012,motor,motor_voluntary,2023-11-18,2024-11-17,1144433,28840,monthly,active
P000231,C01358,A0023,property,property_fire,2023-11-12,2024-11-11,12996410,46853,monthly,lapsed
P000232,C02271,A0036,motor,motor_voluntary,2023-02-19,2024-02-19,1616184,46078,quarterly,active
P000233,C01009,A0026,motor,motor_voluntary,2022-06-16,2023-06-16,1012189,43171,monthly,active
P000234,C02206,A0042,motor,motor_voluntary,2023-02-24,2024-02-24,230377,10218,monthly,active
P000235,C02452,A0026,motor,motor_compulsory,2024-03-09,2025-03-09,1333396,30286,quarterly,active
P000236,C00309,A0031,property,property_flood,2023-05-24,2024-05-23,5492847,63510,quarterly,active
P000237,C01099,A0042,motor,motor_compulsory,2023-01-31,2024-01-31,1365409,33864,monthly,active
P000238,C01829,A0005,motor,motor_compulsory,2023-07-20,2024-07-19,1634023,63177,annual,active
P000239,C01123,A0031,motor,motor_compulsory,2023-03-10,2024-03-09,1761862,47506,quarterly,lapsed
P000240,C01744,A0008,motor,motor_compulsory,2023-10-18,2024-10-17,1256438,39568,quarterly,lapsed
P000241,C01101,A0021,property,property_fire,2024-01-30,2025-01-29,1887504,5739,monthly,lapsed
P000242,C01360,A0023,motor,motor_voluntary,2023-05-09,2024-05-08,897157,36922,monthly,active
P000243,C00974,A0043,motor,motor_compulsory,2023-10-18,2024-10-17,1080316,44934,monthly,active
P000244,C02480,A0009,motor,motor_compulsory,2025-08-02,2026-08-02,2234717,106193,quarterly,active
P000245,C01042,A0041,motor,motor_compulsory,2023-07-11,2024-07-10,750679,18466,annual,active
P000246,C02018,A0003,motor,motor_voluntary,2023-01-16,2024-01-16,956370,40242,quarterly,active
P000247,C02287,A0028,motor,motor_compulsory,2024-04-25,2025-04-25,1031622,50393,quarterly,active
P000248,C01127,A0004,motor,motor_voluntary,2026-01-16,2027-01-16,895957,27065,annual,cancelled
P000249,C01791,A0046,motor,motor_compulsory,2024-03-04,2025-03-04,2411621,86606,quarterly,active
P000250,C02395,A0050,motor,motor_voluntary,2024-06-29,2025-06-29,275453,11621,monthly,active
P000251,C02276,A0011,motor,motor_voluntary,2023-06-14,2024-06-13,1537488,64748,monthly,active
P000252,C02604,A0026,motor,motor_compulsory,2024-01-17,2025-01-16,236166,10072,monthly,active
P000253,C00739,A0042,property,property_allrisk,2024-02-18,2025-02-17,16006284,72811,monthly,active
P000254,C02434,A0001,motor,motor_voluntary,2023-08-07,2024-08-06,881680,24132,monthly,active
P000255,C01075,A0022,motor,motor_compulsory,2023-02-24,2024-02-24,1854313,46556,monthly,active
P000256,C00162,A0002,property,property_allrisk,2023-05-17,2024-05-16,15438759,73300,annual,active
P000257,C00823,A0035,motor,motor_voluntary,2023-06-22,2024-06-21,409305,17239,annual,active
P000258,C00024,A0045,motor,motor_voluntary,2023-08-30,2024-08-29,1449393,65354,monthly,active
P000259,C01151,A0026,motor,motor_voluntary,2025-09-22,2026-09-22,2418269,58780,monthly,active
P000260,C00532,A0026,property,property_flood,2023-04-23,2024-04-22,15025259,157443,quarterly,active
P000261,C01736,A0006,motor,motor_compulsory,2022-06-27,2023-06-27,243299,4973,quarterly,active
P000262,C00470,A0001,property,property_flood,2022-07-22,2023-07-22,5919520,63436,annual,active
P000263,C00820,A0046,property,property_flood,2023-07-10,2024-07-09,9689766,53759,monthly,active
P000264,C02698,A0025,motor,motor_compulsory,2024-02-07,2025-02-06,1406724,33042,annual,active
P000265,C00738,A0040,motor,motor_compulsory,2024-03-02,2025-03-02,332733,10866,monthly,active
P000266,C00355,A0032,property,property_allrisk,2023-07-18,2024-07-17,3330739,24182,annual,active
P000267,C00898,A0029,motor,motor_voluntary,2022-06-22,2023-06-22,923247,26768,quarterly,active
P000268,C01374,A0013,motor,motor_compulsory,2022-12-20,2023-12-20,526188,22656,annual,active
P000269,C01515,A0048,property,property_flood,2022-10-28,2023-10-28,9574111,67379,monthly,active
P000270,C02113,A0028,motor,motor_voluntary,2023-04-24,2024-04-23,1953309,71847,annual,active
P000271,C01382,A0041,property,property_fire,2023-01-07,2024-01-07,1405603,16604,quarterly,active
P000272,C00066,A0003,motor,motor_compulsory,2024-03-09,2025-03-09,931407,21181,annual,active
P000273,C02602,A0027,property,property_allrisk,2023-05-16,2024-05-15,18905669,69929,annual,lapsed
P000274,C01623,A0047,motor,motor_voluntary,2022-08-06,2023-08-06,2110969,74212,quarterly,active
P000275,C00539,A0044,motor,motor_compulsory,2024-06-09,2025-06-09,1673889,77591,quarterly,lapsed
P000276,C02843,A0006,property,property_allrisk,2023-05-18,2024-05-17,19570790,221571,annual,active
P000277,C00451,A0001,motor,motor_voluntary,2025-08-31,2026-08-31,450863,11034,annual,active
P000278,C00968,A0024,motor,motor_voluntary,2026-02-25,2027-02-25,2105984,83174,quarterly,active
P000279,C01741,A0038,property,property_allrisk,2022-09-11,2023-09-11,2116228,12775,annual,active
P000280,C01658,A0031,motor,motor_voluntary,2025-06-20,2026-06-20,1862446,64238,annual,active
P000281,C01948,A0037,property,property_fire,2024-01-10,2025-01-09,19387615,220963,annual,active
